Table 1
die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
3 1/2 X 8 3/8  BK,23 x 29,6,# 121,9 7/8 X 7 1/4,1/4
3 1/2 X 8 3/8  BK,23 x 35,8,# 121,9 7/8 X 7 1/4,1/4
3 1/2 X 8 3/8  BK,25 x 38,10,# 121,9 7/8 X 7 1/4,1/4
3 1/2 X 8 3/8  BK,28 x 40,10,# 121,9 7/8 X 7 1/4,1/4
,,,,,
,,,,,
3 9/16 X 7  BK,15 1/2 X 13 3/4,1,# 11,15 X 13 1/4,4
3 9/16 X 7  BK,11 x 17 ,0,# 11,15 X 13 1/4,4
3 9/16 X 7  BK,17 1/2 x 22 1/2,1,# 11,15 X 13 1/4,4
3 9/16 X 7  BK,19 x 25,1,# 11,15 X 13 1/4,4
3 9/16 X 7  BK,23 x 29,2,# 11,15 X 13 1/4,4
3 9/16 X 7  BK,23 x 35,2,# 11,15 X 13 1/4,4
3 9/16 X 7  BK,25 x 38,2,# 11,15 X 13 1/4,4
3 9/16 X 7  BK,28 x 40,2,# 11,15 X 13 1/4,4
,,,,,
,,,,,
#6 3/4  BK - 3 5/8 x 6 1/2,9 X 8 3/4,1,# 193 & 194,8 1/2 X 8 1/4,1 1/4
#6 3/4  BK - 3 5/8 x 6 1/2,11 x 17 ,2,# 193 & 194,8 1/2 X 8 1/4,1 1/4
#6 3/4  BK - 3 5/8 x 6 1/2,17 1/2 x 22 1/2,4,# 193 & 194,8 1/2 X 8 1/4,1 1/4
#6 3/4  BK - 3 5/8 x 6 1/2,19 x 25,4,# 193 & 194,8 1/2 X 8 1/4,1 1/4
#6 3/4  BK - 3 5/8 x 6 1/2,23 x 29,6,# 193 & 194,8 1/2 X 8 1/4,1 1/4
#6 3/4  BK - 3 5/8 x 6 1/2,23 x 35,8,# 193 & 194,8 1/2 X 8 1/4,1 1/4
#6 3/4  BK - 3 5/8 x 6 1/2,25 x 38,8,# 193 & 194,8 1/2 X 8 1/4,1 1/4
#6 3/4  BK - 3 5/8 x 6 1/2,28 x 40,12,# 193 & 194,8 1/2 X 8 1/4,1 1/4
,,,,,
,,,,,
#6 3/4  BK - 3 5/8 x 6 1/2,8 3/4 X 8 3/8,1,# 207 & # 204,8 1/4 X 7 7/8,1 3/8
#6 3/4  BK - 3 5/8 x 6 1/2,11 x 17 ,2,# 207 & # 204,8 1/4 X 7 7/8,1 3/8
#6 3/4  BK - 3 5/8 x 6 1/2,17 1/2 x 22 1/2,4,# 207 & # 204,8 1/4 X 7 7/8,1 3/8
#6 3/4  BK - 3 5/8 x 6 1/2,19 x 25,6,# 207 & # 204,8 1/4 X 7 7/8,1 3/8
#6 3/4  BK - 3 5/8 x 6 1/2,23 x 29,6,# 207 & # 204,8 1/4 X 7 7/8,1 3/8
#6 3/4  BK - 3 5/8 x 6 1/2,23 x 35,8,# 207 & # 204,8 1/4 X 7 7/8,1 3/8
#6 3/4  BK - 3 5/8 x 6 1/2,25 x 38,8,# 207 & # 204,8 1/4 X 7 7/8,1 3/8
#6 3/4  BK - 3 5/8 x 6 1/2,28 x 40,12,# 207 & # 204,8 1/4 X 7 7/8,1 3/8
,,,,,
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,8 1/2 X 11,1,# 234,8 X 10 1/2,3 1/2
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,11 x 17 ,1,# 234,8 X 10 1/2,3 1/2
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,17 1/2 x 22 1/2,4,# 234,8 X 10 1/2,3 1/2
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,19 x 25,4,# 234,8 X 10 1/2,3 1/2
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,23 x 29,4,# 234,8 X 10 1/2,3 1/2
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,23 x 35,6,# 234,8 X 10 1/2,3 1/2
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,25 x 38,9,# 234,8 X 10 1/2,3 1/2
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,28 x 40,9,# 234,8 X 10 1/2,3 1/2
,,,,,
,,,,,
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,9 X 11,1,# 117,8 1/4 X 10 7/16,3 3/8
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,11 x 17 ,1,# 117,8 1/4 X 10 7/16,3 3/8
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,17 1/2 x 22 1/2,4,# 117,8 1/4 X 10 7/16,3 3/8
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,19 x 25,4,# 117,8 1/4 X 10 7/16,3 3/8
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,23 x 29,6,# 117,8 1/4 X 10 7/16,3 3/8
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,23 x 35,6,# 117,8 1/4 X 10 7/16,3 3/8
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,25 x 38,6,# 117,8 1/4 X 10 7/16,3 3/8
#6 3/4 Remit  - 3 5/8 x 6 1/2 ,28 x 40,9,# 117,8 1/4 X 10 7/16,3 3/8
,,,,,
,,,,,
3 5/8 x 7 1/2  BK,10  X 8 3/4,1, # 209,9 1/2 X 8 1/4,1 1/2
3 5/8 x 7 1/2  BK,11 x 17 ,2, # 209,9 1/2 X 8 1/4,1 1/2
3 5/8 x 7 1/2  BK,17 1/2 x 22 1/2,2, # 209,9 1/2 X 8 1/4,1 1/2
3 5/8 x 7 1/2  BK,19 x 25,4, # 209,9 1/2 X 8 1/4,1 1/2
3 5/8 x 7 1/2  BK,23 x 29,6, # 209,9 1/2 X 8 1/4,1 1/2
3 5/8 x 7 1/2  BK,23 x 35,8, # 209,9 1/2 X 8 1/4,1 1/2
3 5/8 x 7 1/2  BK,25 x 38,8, # 209,9 1/2 X 8 1/4,1 1/2
3 5/8 x 7 1/2  BK,28 x 40,8, # 209,9 1/2 X 8 1/4,1 1/2
,,,,,
,,,,,
3 5/8 x 7 1/2  BK - Bangtail,9 7/8  X 12 1/2,1,# 357,9 3/8 X 11 7/8,1 5/16
3 5/8 x 7 1/2  BK - Bangtail,11 x 17 ,1,# 357,9 3/8 X 11 7/8,1 5/16
3 5/8 x 7 1/2  BK - Bangtail,17 1/2 x 22 1/2,2,# 357,9 3/8 X 11 7/8,1 5/16
3 5/8 x 7 1/2  BK - Bangtail,19 x 25,2,# 357,9 3/8 X 11 7/8,1 5/16
3 5/8 x 7 1/2  BK - Bangtail,23 x 29,4,# 357,9 3/8 X 11 7/8,1 5/16
3 5/8 x 7 1/2  BK - Bangtail,23 x 35,4,# 357,9 3/8 X 11 7/8,1 5/16
3 5/8 x 7 1/2  BK - Bangtail,25 x 38,6,# 357,9 3/8 X 11 7/8,1 5/16
3 5/8 x 7 1/2  BK - Bangtail,28 x 40,6,# 357,9 3/8 X 11 7/8,1 5/16
,,,,,
,,,,,
3 3/4 x 6 5/8  BK,9 X 9 1/4,1,# 205,8 1/2 X 8 3/4,1 1/2
3 3/4 x 6 5/8  BK,11 X 17,1,# 205,8 1/2 X 8 3/4,1 1/2
3 3/4 x 6 5/8  BK,17 1/2 x 22 1/2,4,# 205,8 1/2 X 8 3/4,1 1/2
3 3/4 x 6 5/8  BK,19 X 25 ,4,# 205,8 1/2 X 8 3/4,1 1/2
3 3/4 x 6 5/8  BK,23 X 29,6,# 205,8 1/2 X 8 3/4,1 1/2
3 3/4 x 6 5/8  BK,23 X 35,8,# 205,8 1/2 X 8 3/4,1 1/2
3 3/4 x 6 5/8  BK,25 X 38,8,# 205,8 1/2 X 8 3/4,1 1/2
3 3/4 x 6 5/8  BK,28 x 40,12,# 205,8 1/2 X 8 3/4,1 1/2
,,,,,
,,,,,
3 3/4 x 7  BK,9 3/8 X 9 1/4,1,# 202,8 7/8 x 8 3/4,1 1/2
3 3/4 x 7  BK,11 X 17,1,# 202,8 7/8 x 8 3/4,1 1/2
3 3/4 x 7  BK,17 1/2 x 22 1/2,2,# 202,8 7/8 x 8 3/4,1 1/2
3 3/4 x 7  BK,19 X 25 ,4,# 202,8 7/8 x 8 3/4,1 1/2
3 3/4 x 7  BK,23 X 29,6,# 202,8 7/8 x 8 3/4,1 1/2
3 3/4 x 7  BK,23 X 35,6,# 202,8 7/8 x 8 3/4,1 1/2
3 3/4 x 7  BK,25 X 38,8,# 202,8 7/8 x 8 3/4,1 1/2
3 3/4 x 7  BK,28 x 40,12,# 202,8 7/8 x 8 3/4,1 1/2
,,,,,
,,,,,
3 3/4 X 7 1/8 - Bangtail,9 3/8 x 12 9/16,1,# 63,8 7/8 X 12 1/16,1
3 3/4 X 7 1/8 - Bangtail,11 x 17 ,1,# 63,8 7/8 X 12 1/16,1
3 3/4 X 7 1/8 - Bangtail,17 1/2 x 22 1/2,1,# 63,8 7/8 X 12 1/16,1
3 3/4 X 7 1/8 - Bangtail,19 x 25,4,# 63,8 7/8 X 12 1/16,1
3 3/4 X 7 1/8 - Bangtail,23 x 29,4,# 63,8 7/8 X 12 1/16,1
3 3/4 X 7 1/8 - Bangtail,23 x 35,4,# 63,8 7/8 X 12 1/16,1
3 3/4 X 7 1/8 - Bangtail,25 x 38,6,# 63,8 7/8 X 12 1/16,1
3 3/4 X 7 1/8 - Bangtail,28 x 40,9,# 63,8 7/8 X 12 1/16,1
,,,,,
,,,,,
3 3/4 x 7 1/2  BK,9 X 9 5/8,1,# 12,9 1/4 X 8 5/8,1 3/8
3 3/4 x 7 1/2  BK,11 X 17,1,# 12,9 1/4 X 8 5/8,1 3/8
3 3/4 x 7 1/2  BK,17 1/2 x 22 1/2,2,# 12,9 1/4 X 8 5/8,1 3/8
3 3/4 x 7 1/2  BK,19 X 25 ,4,# 12,9 1/4 X 8 5/8,1 3/8
3 3/4 x 7 1/2  BK,23 X 29,6,# 12,9 1/4 X 8 5/8,1 3/8
3 3/4 x 7 1/2  BK,23 X 35,6,# 12,9 1/4 X 8 5/8,1 3/8
