die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
6 x 9  OE,23 X 35,2,# 308,12 7/8 X 12 3/4,2 3/4
6 x 9  OE,25 X 38,2,# 308,12 7/8 X 12 3/4,2 3/4
6 x 9  OE,28 X 40,6,# 308,12 7/8 X 12 3/4,2 3/4
,,,,,
6 x 9  OE,12 15/16 X 10 1/2,1,# 276,12 7/16 X 10,0
6 x 9  OE,11 X 17 ,0,# 276,12 7/16 X 10,0
6 x 9  OE,17 1/2 X 22 1/2,2,# 276,12 7/16 X 10,0
6 x 9  OE,19 X 25,2,# 276,12 7/16 X 10,0
6 x 9  OE,23 X 29,2,# 276,12 7/16 X 10,0
6 x 9  OE,23 X 35,3,# 276,12 7/16 X 10,0
6 x 9  OE,25 X 38,3,# 276,12 7/16 X 10,0
6 x 9  OE,28 X 40,6,# 276,12 7/16 X 10,0
,,,,,
,,,,,
6 x 9 1/2  OE,9 3/8 X 22 7/8,1,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,11 X 17 ,0,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,17 1/2 X 22 1/2,0,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,19 X 25,2,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,23 X 29,2,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,23 X 35,2,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,25 X 38,2,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,28 X 40,3,# 146,8 7/8 X 22 3/8,6 3/8
,,,,,
,,,,,
6 x 10 1/2  OE,13 1/4 X 14 7/8,1,# 225,12 3/4 X 13 3/8,1 7/8
6 x 10 1/2  OE,11 X 17 ,0,# 225,12 3/4 X 13 3/8,1 7/8
6 x 10 1/2  OE,17 1/2 X 22 1/2,0,# 225,12 3/4 X 13 3/8,1 7/8
6 x 10 1/2  OE,19 X 25,1,# 225,12 3/4 X 13 3/8,1 7/8
6 x 10 1/2  OE,23 X 29,2,# 225,12 3/4 X 13 3/8,1 7/8
6 x 10 1/2  OE,23 X 35,2,# 225,12 3/4 X 13 3/8,1 7/8
6 x 10 1/2  OE,25 X 38,2,# 225,12 3/4 X 13 3/8,1 7/8
6 x 10 1/2  OE,28 X 40,6,# 225,12 3/4 X 13 3/8,1 7/8
,,,,,
,,,,,
6 1/8 x 6 7/8  OE,14 1/4 X 8 5/8,1,# 304,13 3/4 X 8 1/8,0 - sleeve
6 1/8 x 6 7/8  OE,11 X 17 ,0,# 304,13 3/4 X 8 1/8,0 - sleeve
6 1/8 x 6 7/8  OE,17 1/2 X 22 1/2,2,# 304,13 3/4 X 8 1/8,0 - sleeve
6 1/8 x 6 7/8  OE,19 X 25,2,# 304,13 3/4 X 8 1/8,0 - sleeve
6 1/8 x 6 7/8  OE,23 X 29,3,# 304,13 3/4 X 8 1/8,0 - sleeve
6 1/8 x 6 7/8  OE,23 X 35,4,# 304,13 3/4 X 8 1/8,0 - sleeve
6 1/8 x 6 7/8  OE,25 X 38,4,# 304,13 3/4 X 8 1/8,0 - sleeve
6 1/8 x 6 7/8  OE,28 X 40,4,# 304,13 3/4 X 8 1/8,0 - sleeve
,,,,,
,,,,,
6 1/4 x 9 1/2  OE,13 1/2 X 13,1,# 221,13 X 12 1/2,2
6 1/4 x 9 1/2  OE,11 X 17 ,0,# 221,13 X 12 1/2,2
6 1/4 x 9 1/2  OE,17 1/2 X 22 1/2,1,# 221,13 X 12 1/2,2
6 1/4 x 9 1/2  OE,19 X 25,1,# 221,13 X 12 1/2,2
6 1/4 x 9 1/2  OE,23 X 29,2,# 221,13 X 12 1/2,2
6 1/4 x 9 1/2  OE,23 X 35,2,# 221,13 X 12 1/2,2
6 1/4 x 9 1/2  OE,25 X 38,2,# 221,13 X 12 1/2,2
6 1/4 x 9 1/2  OE,28 X 40,6,# 221,13 X 12 1/2,2
,,,,,
,,,,,
6 1/2 x 6 1/2  OE,14 1/4 X 10,1,# 233,13 3/4 X 9 1/2,2
6 1/2 x 6 1/2  OE,11 X 17 ,0,# 233,13 3/4 X 9 1/2,2
6 1/2 x 6 1/2  OE,17 1/2 X 22 1/2,2,# 233,13 3/4 X 9 1/2,2
6 1/2 x 6 1/2  OE,19 X 25,2,# 233,13 3/4 X 9 1/2,2
6 1/2 x 6 1/2  OE,23 X 29,2,# 233,13 3/4 X 9 1/2,2
6 1/2 x 6 1/2  OE,23 X 35,3,# 233,13 3/4 X 9 1/2,2
6 1/2 x 6 1/2  OE,25 X 38,3,# 233,13 3/4 X 9 1/2,2
6 1/2 x 6 1/2  OE,28 X 40,4,# 233,13 3/4 X 9 1/2,2
,,,,,
,,,,,
6 1/2 x 8 3/4  OE,14 1/4 X 10 1/8,1,# 283,13 3/4 X 9 5/8,0 - sleeve
6 1/2 x 8 3/4  OE,11 X 17 ,0,# 283,13 3/4 X 9 5/8,0 - sleeve
6 1/2 x 8 3/4  OE,17 1/2 X 22 1/2,2,# 283,13 3/4 X 9 5/8,0 - sleeve
6 1/2 x 8 3/4  OE,19 X 25,2,# 283,13 3/4 X 9 5/8,0 - sleeve
6 1/2 x 8 3/4  OE,23 X 29,3,# 283,13 3/4 X 9 5/8,0 - sleeve
6 1/2 x 8 3/4  OE,23 X 35,3,# 283,13 3/4 X 9 5/8,0 - sleeve
6 1/2 x 8 3/4  OE,25 X 38,3,# 283,13 3/4 X 9 5/8,0 - sleeve
6 1/2 x 8 3/4  OE,28 X 40,8,# 283,13 3/4 X 9 5/8,0 - sleeve
,,,,,
,,,,,
6 1/2 x 9  OE,14 1/16 X 12 1/8,1,# 223,13 9/16 X 11 5/8,1 3/4
6 1/2 x 9  OE,11 X 17 ,0,# 223,13 9/16 X 11 5/8,1 3/4
6 1/2 x 9  OE,17 1/2 X 22 1/2,1,# 223,13 9/16 X 11 5/8,1 3/4
6 1/2 x 9  OE,19 X 25,2,# 223,13 9/16 X 11 5/8,1 3/4
6 1/2 x 9  OE,23 X 29,2,# 223,13 9/16 X 11 5/8,1 3/4
6 1/2 x 9  OE,23 X 35,2,# 223,13 9/16 X 11 5/8,1 3/4
6 1/2 x 9  OE,25 X 38,3,# 223,13 9/16 X 11 5/8,1 3/4
6 1/2 x 9  OE,28 X 40,3,# 223,13 9/16 X 11 5/8,1 3/4
,,,,,
,,,,,
6 1/2 x 9 1/2  OE,14 1/2 X 13,1,# 222,14 X 12 1/2,2 1/8
6 1/2 x 9 1/2  OE,11 X 17 ,0,# 222,14 X 12 1/2,2 1/8
6 1/2 x 9 1/2  OE,17 1/2 X 22 1/2,1,# 222,14 X 12 1/2,2 1/8
6 1/2 x 9 1/2  OE,19 X 25,1,# 222,14 X 12 1/2,2 1/8
6 1/2 x 9 1/2  OE,23 X 29,2,# 222,14 X 12 1/2,2 1/8
6 1/2 x 9 1/2  OE,23 X 35,2,# 222,14 X 12 1/2,2 1/8
6 1/2 x 9 1/2  OE,25 X 38,2,# 222,14 X 12 1/2,2 1/8
6 1/2 x 9 1/2  OE,28 X 40,3,# 222,14 X 12 1/2,2 1/8
,,,,,
,,,,,
6 1/2 x 9 1/2  OE,14 1/8 X 12 1/2,1,# 238,13 5/8 X 12,1 5/8
6 1/2 x 9 1/2  OE,11 X 17 ,0,# 238,13 5/8 X 12,1 5/8
6 1/2 x 9 1/2  OE,17 1/2 X 22 1/2,1,# 238,13 5/8 X 12,1 5/8
6 1/2 x 9 1/2  OE,19 X 25,2,# 238,13 5/8 X 12,1 5/8
6 1/2 x 9 1/2  OE,23 X 29,2,# 238,13 5/8 X 12,1 5/8
6 1/2 x 9 1/2  OE,23 X 35,2,# 238,13 5/8 X 12,1 5/8
6 1/2 x 9 1/2  OE,25 X 38,3,# 238,13 5/8 X 12,1 5/8
6 1/2 x 9 1/2  OE,28 X 40,6,# 238,13 5/8 X 12,1 5/8
,,,,,
,,,,,
7 x 10  OE,15 X 13 1/4,1,# 232,14 1/2 X 13 1/4,2 1/4
7 x 10  OE,11 X 17 ,0,# 232,14 1/2 X 13 1/4,2 1/4
7 x 10  OE,17 1/2 X 22 1/2,1,# 232,14 1/2 X 13 1/4,2 1/4
7 x 10  OE,19 X 25,1,# 232,14 1/2 X 13 1/4,2 1/4
7 x 10  OE,23 X 29,2,# 232,14 1/2 X 13 1/4,2 1/4
7 x 10  OE,23 X 35,2,# 232,14 1/2 X 13 1/4,2 1/4
7 x 10  OE,25 X 38,3,# 232,14 1/2 X 13 1/4,2 1/4
7 x 10  OE,28 X 40,4,# 232,14 1/2 X 13 1/4,2 1/4
,,,,,
,,,,,
7 x 10  OE,15 1/2 X 15 1/2,1,# 311,15 X 15,2
7 x 10  OE,11 X 17 ,0,# 311,15 X 15,2
7 x 10  OE,17 1/2 X 22 1/2,1,# 311,15 X 15,2
7 x 10  OE,19 X 25,1,# 311,15 X 15,2
7 x 10  OE,23 X 29,1,# 311,15 X 15,2
7 x 10  OE,23 X 35,2,# 311,15 X 15,2
7 x 10  OE,25 X 38,2,# 311,15 X 15,2
7 x 10  OE,28 X 40,2,# 311,15 X 15,2
,,,,,
,,,,,
7 1/4 x 7 1/4  OE,15 9/16 X 9 3/4,1,# 234,15 1/16 X 9 1/4,1 1/4
7 1/4 x 7 1/4  OE,11 X 17 ,0,# 234,15 1/16 X 9 1/4,1 1/4
7 1/4 x 7 1/4  OE,17 1/2 X 22 1/2,2,# 234,15 1/16 X 9 1/4,1 1/4
7 1/4 x 7 1/4  OE,19 X 25,2,# 234,15 1/16 X 9 1/4,1 1/4
