die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
7 1/2 x 10 1/2  BK,17 1/2 X 22 1/2,1,# 124,12 1/4 X 16,1 1/2
7 1/2 x 10 1/2  BK,19 X 25,1,# 124,12 1/4 X 16,1 1/2
7 1/2 x 10 1/2  BK,23 X 29,1,# 124,12 1/4 X 16,1 1/2
7 1/2 x 10 1/2  BK,23 X 35,2,# 124,12 1/4 X 16,1 1/2
7 1/2 x 10 1/2  BK,25 X 38,2,# 124,12 1/4 X 16,1 1/2
7 1/2 x 10 1/2  BK,28 X 40,4,# 124,12 1/4 X 16,1 1/2
,,,,,
,,,,,
7 1/2 x 10 1/2  BK,12 3/4 X 16 1/2,1,# 133,13 X 16 1/2,2 1/4
7 1/2 x 10 1/2  BK,11 X 17 ,0,# 133,13 X 16 1/2,2 1/4
7 1/2 x 10 1/2  BK,17 1/2 X 22 1/2,1,# 133,13 X 16 1/2,2 1/4
7 1/2 x 10 1/2  BK,19 X 25,1,# 133,13 X 16 1/2,2 1/4
7 1/2 x 10 1/2  BK,23 X 29,1,# 133,13 X 16 1/2,2 1/4
7 1/2 x 10 1/2  BK,23 X 35,2,# 133,13 X 16 1/2,2 1/4
7 1/2 x 10 1/2  BK,25 X 38,2,# 133,13 X 16 1/2,2 1/4
7 1/2 x 10 1/2  BK,28 X 40,4,# 133,13 X 16 1/2,2 1/4
,,,,,
,,,,,
8 x 8  BK,10 1/2 X 17 1/2,1,# 152,10 X 17,1 3/4
8 x 8  BK,11 X 17 ,0,# 152,10 X 17,1 3/4
8 x 8  BK,17 1/2 X 22 1/2,1,# 152,10 X 17,1 3/4
8 x 8  BK,19 X 25,1,# 152,10 X 17,1 3/4
8 x 8  BK,23 X 29,2,# 152,10 X 17,1 3/4
8 x 8  BK,23 X 35,4,# 152,10 X 17,1 3/4
8 x 8  BK,25 X 38,4,# 152,10 X 17,1 3/4
8 x 8  BK,28 X 40,6,# 152,10 X 17,1 3/4
,,,,,
,,,,,
8 x 10 3/4  BK,10 1/2 X 17 1/2,1,# 151,12 3/4 X 17 1/4,1 3/4
8 x 10 3/4  BK,11 X 17 ,0,# 151,12 3/4 X 17 1/4,1 3/4
8 x 10 3/4  BK,17 1/2 X 22 1/2,1,# 151,12 3/4 X 17 1/4,1 3/4
8 x 10 3/4  BK,19 X 25,1,# 151,12 3/4 X 17 1/4,1 3/4
8 x 10 3/4  BK,23 X 29,1,# 151,12 3/4 X 17 1/4,1 3/4
8 x 10 3/4  BK,23 X 35,1,# 151,12 3/4 X 17 1/4,1 3/4
8 x 10 3/4  BK,25 X 38,2,# 151,12 3/4 X 17 1/4,1 3/4
8 x 10 3/4  BK,28 X 40,4,# 151,12 3/4 X 17 1/4,1 3/4
,,,,,
,,,,,
8 1/2 x 8 1/2  BK,11 X 18 1/2,1,# 111 - N,10 1/2 X 18,1 1/2
8 1/2 x 8 1/2  BK,11 X 17 ,0,# 111 - N,10 1/2 X 18,1 1/2
8 1/2 x 8 1/2  BK,17 1/2 X 22 1/2,1,# 111 - N,10 1/2 X 18,1 1/2
8 1/2 x 8 1/2  BK,19 X 25,1,# 111 - N,10 1/2 X 18,1 1/2
8 1/2 x 8 1/2  BK,23 X 29,2,# 111 - N,10 1/2 X 18,1 1/2
8 1/2 x 8 1/2  BK,23 X 35,2,# 111 - N,10 1/2 X 18,1 1/2
8 1/2 x 8 1/2  BK,25 X 38,4,# 111 - N,10 1/2 X 18,1 1/2
8 1/2 x 8 1/2  BK,28 X 40,4,# 111 - N,10 1/2 X 18,1 1/2
,,,,,
,,,,,
8 1/2 x 12 1/2  BK,17 X 18 7/8,1,# 330,16 1/2 X 18 3/8,2 3/4
8 1/2 x 12 1/2  BK,11 X 17 ,0,# 330,16 1/2 X 18 3/8,2 3/4
8 1/2 x 12 1/2  BK,17 1/2 X 22 1/2,1,# 330,16 1/2 X 18 3/8,2 3/4
8 1/2 x 12 1/2  BK,19 X 25,1,# 330,16 1/2 X 18 3/8,2 3/4
8 1/2 x 12 1/2  BK,23 X 29,1,# 330,16 1/2 X 18 3/8,2 3/4
8 1/2 x 12 1/2  BK,23 X 35,1,# 330,16 1/2 X 18 3/8,2 3/4
8 1/2 x 12 1/2  BK,25 X 38,2,# 330,16 1/2 X 18 3/8,2 3/4
8 1/2 x 12 1/2  BK,28 X 40,2,# 330,16 1/2 X 18 3/8,2 3/4
,,,,,
,,,,,
8 3/4 x 11 1/2  BK,14 X 19 5/8,1,# 161,13 1/2 X 19 1/8,2 1/8
8 3/4 x 11 1/2  BK,11 X 17 ,0,# 161,13 1/2 X 19 1/8,2 1/8
8 3/4 x 11 1/2  BK,17 1/2 X 22 1/2,1,# 161,13 1/2 X 19 1/8,2 1/8
8 3/4 x 11 1/2  BK,19 X 25,1,# 161,13 1/2 X 19 1/8,2 1/8
8 3/4 x 11 1/2  BK,23 X 29,1,# 161,13 1/2 X 19 1/8,2 1/8
8 3/4 x 11 1/2  BK,23 X 35,1,# 161,13 1/2 X 19 1/8,2 1/8
8 3/4 x 11 1/2  BK,25 X 38,1,# 161,13 1/2 X 19 1/8,2 1/8
8 3/4 x 11 1/2  BK,28 X 40,4,# 161,13 1/2 X 19 1/8,2 1/8
,,,,,
,,,,,
8 3/4 x 11 1/2  BK,13 3/8 X 19 3/8,1,# 329,13 3/8 X 18 7/8,2
